X5L4SC,INBOUND,Mueller - Pittsburgh,LT-1,Mueller,LightTree,Dunham,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,,,,,,,"34.654759, -85.6668964",US-South,Common Carrier,,1Z40905045952,,,,,,http://lighttree.com/X5L4SC
W7LKE4,INBOUND,LightLens - Ipswich ,LT-1,LightLens,LightTree,Dunham,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,,,,,,,"36.605642, -72.1376579",US-West,Common Carrier,,1Z26727337844,,,,,,http://lighttree.com/W7LKE4
XV1YVC,INBOUND,R&J - Vancouver,LT-1,R&J,LightTree,TransOceanic,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,2021-07-27T00:00:00,,,,,,,"35.540359, -92.7534213",US-South,Common Carrier,,1Z97228647840,,,,,,http://lighttree.com/XV1YVC
KMEZ3K,INBOUND,EM - Hemphill,LT-1,EM,LightTree,UXS,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,,2021-07-26T00:00:00,,,,,,,,,Common Carrier,,1Z26727337844,,,,,,http://lighttree.com/KMEZ3K
JHP2S4,INBOUND,Interalloy - Bozeman,LT-1,Interalloy,LightTree,UXS,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,2021-07-24T00:00:00,2021-07-26T00:00:00,,,,,,,"36.55999, -92.8620482",US-East,Common Carrier,,1Z64431175920,,,,,,http://lighttree.com/JHP2S4
JHP2S5,INBOUND,Interalloy - Bozeman,LT-1,Interalloy,LightTree,UXS,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-28T00:00:00,2021-07-26T00:00:00,2021-07-28T00:00:00,,,,,,,"42.638648, -104.9811647",US-West,Common Carrier,,1Z17624205357,,,,,,http://lighttree.com/JHP2S5
JN6VI0,INBOUND,Interalloy - Bozeman,LT-1,Interalloy,LightTree,UXS,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,,2021-07-27T00:00:00,,,,,,,,,Common Carrier,,1Z64431175920,,,,,,http://lighttree.com/JN6VI0
RF5NOJ,INBOUND,Hardy - Salina,LT-1,Hardy,LightTree,TransOceanic,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,,2021-07-26T00:00:00,,,,,,,,,Common Carrier,,1Z17624205357,,,,,,http://lighttree.com/RF5NOJ
TRYYNK,INBOUND,Interalloy - Bozeman,LT-1,Interalloy,LightTree,UXS,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-25T00:00:00,2021-07-24T00:00:00,2021-07-25T00:00:00,,,,,,,"34.128526, -88.0144016",US-East,Common Carrier,,1Z58114235253,,,,,,http://lighttree.com/TRYYNK
A2Z873,INBOUND,Flexilux - Worcester,LT-1,Flexilux,LightTree,UXS,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,2021-07-23T00:00:00,2021-07-28T00:00:00,,,,,,,"35.269047, -83.8024506",US-East,Common Carrier,,1Z40789424977,,,,,,http://lighttree.com/A2Z873
YUJOYM,INBOUND,McGrey - Mt Sterling,LT-1,McGrey,LightTree,AFX,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,,,,,,,"34.27956, -86.3199604",US-East,Common Carrier,,1Z76584940478,,,,,,http://lighttree.com/YUJOYM
FHA3V,INBOUND,Brewers - Phoenix,LT-1,Brewers,LightTree,AFX,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,2021-07-28T00:00:00,,,,,,,"33.508613, -91.0144145",US-West,Common Carrier,,1Z66136934522,,,,,,http://lighttree.com/FHA3V
8GZ81E,INBOUND,Total Source - Waukesha,LT-1,Total Source,LightTree,TransOceanic,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-26T00:00:00,2021-07-22T00:00:00,2021-07-26T00:00:00,,2021-07-23T00:00:00,,,,,"35.102859, -87.0411009",US-South,Common Carrier,,1Z38985136344,,,,,,http://lighttree.com/8GZ81E
LBM8RO,INBOUND,F & M - Columbus,LT-1,F & M,LightTree,NatEx,,2021-07-19T00:00:00,2021-07-26T00:00:00,2021-07-27T00:00:00,2021-07-22T00:00:00,2021-07-23T00:00:00,,2021-07-24T00:00:00,,,,,"35.360807, -85.7157197",US-East,Common Carrier,,1Z73051707146,,,,,,http://lighttree.com/LBM8RO
7GMW0P,INBOUND,SilverOptics - Dover,LT-1,SilverOptics,LightTree,UXS,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-18T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z13792687652,,,,,,http://lighttree.com/7GMW0P
186MCN,INBOUND,Ripley - Trenton,LT-1,Ripley,LightTree,AFX,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-20T00:00:00,,,,,,Common Carrier,,1Z89561993624,,,,,,http://lighttree.com/186MCN
QN3LWG,INBOUND,Alumi-lux - Nashua,LT-1,Alumi-lux,LightTree,TransOceanic,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-21T00:00:00,2021-07-17T00:00:00,2021-07-21T00:00:00,,2021-07-22T00:00:00,,,,,"34.445131, -85.2689976",US-East,Common Carrier,,1Z79609234312,,,,,,http://lighttree.com/QN3LWG
XWFGBJ,INBOUND,Amos - Philadelphia,LT-1,Amos,LightTree,NatEx,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z79679439255,,,,,,http://lighttree.com/XWFGBJ
EEU2OZ,INBOUND,Gemini - Dallas,LT-1,Gemini,LightTree,NatEx,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z61566406245,,,,,,http://lighttree.com/EEU2OZ
69KATE,INBOUND,Mueller - Pittsburgh,LT-1,Mueller,LightTree,Dunham,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z66916635689,,,,,,http://lighttree.com/69KATE
NTIP9U,INBOUND,LightLens - Ipswich ,LT-1,LightLens,LightTree,Dunham,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-25T00:00:00,2021-07-15T00:00:00,2021-07-25T00:00:00,,2021-07-25T00:00:00,,,,,"34.446155, -82.4030403",US-East,Common Carrier,,1Z84855380152,,,,,,http://lighttree.com/NTIP9U
U9REQF,INBOUND,SA - Loretto,LT-1,SA,LightTree,TransOceanic,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-16T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z40905045952,,,,,,http://lighttree.com/U9REQF
O1CA0D,INBOUND,RLP - Troy,LT-1,RLP,LightTree,UXS,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z26727337844,,,,,,http://lighttree.com/O1CA0D
ZYY47F,INBOUND,EM - Hemphill,LT-1,EM,LightTree,UXS,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z97228647840,,,,,,http://lighttree.com/ZYY47F
GNHM3F,INBOUND,Interalloy - Bozeman,LT-1,Interalloy,LightTree,UXS,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z13792687652,,,,,,http://lighttree.com/GNHM3F
00NYVK,INBOUND,Interalloy - Bozeman,LT-1,Interalloy,LightTree,UXS,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z89561993624,,,,,,http://lighttree.com/00NYVK
FJMDL6,INBOUND,Hardy - Salina,LT-1,Hardy,LightTree,TransOceanic,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-20T00:00:00,2021-07-16T00:00:00,2021-07-20T00:00:00,,2021-07-19T00:00:00,,,,,"34.052622, -87.8833833",US-East,Common Carrier,,1Z79609234312,,,,,,http://lighttree.com/FJMDL6
Y05B3G,INBOUND,Interalloy - Bozeman,LT-1,Interalloy,LightTree,UXS,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-21T00:00:00,,,,,,Common Carrier,,1Z79679439255,,,,,,http://lighttree.com/Y05B3G
I6WQ1J,INBOUND,Flexilux - Worcester,LT-1,Flexilux,LightTree,UXS,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,2021-07-19T00:00:00,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z61566406245,,,,,,http://lighttree.com/I6WQ1J
I6WQ1K,INBOUND,Flexilux - Worcester,LT-1,Flexilux,LightTree,UXS,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-21T00:00:00,2021-07-17T00:00:00,2021-07-21T00:00:00,,,2021-07-21T00:00:00,,,,,,Common Carrier,,1Z66916635689,,,,,,http://lighttree.com/I6WQ1K
ANQWZY,INBOUND,McGrey - Mt Sterling,LT-1,McGrey,LightTree,AFX,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z84855380152,,,,,,http://lighttree.com/ANQWZY
F8K3XF,INBOUND,Brewers - Phoenix,LT-1,Brewers,LightTree,AFX,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z40905045952,,,,,,http://lighttree.com/F8K3XF
WHS04B,INBOUND,Total Source - Waukesha,LT-1,Total Source,LightTree,TransOceanic,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,,2021-07-19T00:00:00,,,,,,Common Carrier,,1Z26727337844,,,,,,http://lighttree.com/WHS04B
CXI2CP,INBOUND,F & M - Columbus,LT-1,F & M,LightTree,NatEx,,2021-07-12T00:00:00,2021-07-19T00:00:00,2021-07-19T00:00:00,2021-07-15T00:00:00,2021-07-19T00:00:00,,,2021-07-18T00:00:00,,,,,,Common Carrier,,1Z97228647840,,,,,,http://lighttree.com/CXI2CP
ZT4OZ6,INBOUND,SilverOptics - Dover,LT-1,SilverOptics,LightTree,UXS,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,,,2021-06-27T00:00:00,,,,,,Common Carrier,,1Z40905045952,,,,,,http://lighttree.com/ZT4OZ6
WUO0O7,INBOUND,Ripley - Trenton,LT-1,Ripley,LightTree,AFX,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,,,2021-06-27T00:00:00,,,,,,Common Carrier,,1Z26727337844,,,,,,http://lighttree.com/WUO0O7
Z7XX5W,INBOUND,Alumi-lux - Nashua,LT-1,Alumi-lux,LightTree,TransOceanic,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-27T00:00:00,2021-06-25T00:00:00,2021-06-27T00:00:00,,,2021-06-27T00:00:00,,,,,,Common Carrier,,1Z97228647840,,,,,,http://lighttree.com/Z7XX5W
TRDKRG,INBOUND,Amos - Philadelphia,LT-1,Amos,LightTree,NatEx,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-29T00:00:00,2021-06-25T00:00:00,2021-06-29T00:00:00,,,2021-06-29T00:00:00,,,,,,Common Carrier,,1Z26727337844,,,,,,http://lighttree.com/TRDKRG
DW5V57,INBOUND,Gemini - Dallas,LT-1,Gemini,LightTree,NatEx,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,,,2021-06-27T00:00:00,,,,,,Common Carrier,,1Z64431175920,,,,,,http://lighttree.com/DW5V57
TSKNHT,INBOUND,Mueller - Pittsburgh,LT-1,Mueller,LightTree,Dunham,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-26T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,,,2021-06-27T00:00:00,,,,,,Common Carrier,,1Z17624205357,,,,,,http://lighttree.com/TSKNHT
2I8M66,INBOUND,LightLens - Ipswich ,LT-1,LightLens,LightTree,Dunham,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-07-03T00:00:00,2021-06-29T00:00:00,2021-07-03T00:00:00,,,2021-07-03T00:00:00,,,,,,Common Carrier,,1Z64431175920,,,,,,http://lighttree.com/2I8M66
QMQXK8,INBOUND,SA - Loretto,LT-1,SA,LightTree,TransOceanic,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,,,2021-06-27T00:00:00,,,,,,Common Carrier,,1Z17624205357,,,,,,http://lighttree.com/QMQXK8
GLABQ9,INBOUND,RLP - Troy,LT-1,RLP,LightTree,UXS,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,,,2021-06-27T00:00:00,,,,,,Common Carrier,,1Z58114235253,,,,,,http://lighttree.com/GLABQ9
FEH4YT,INBOUND,EM - Hemphill,LT-1,EM,LightTree,UXS,,2021-06-20T00:00:00,2021-06-27T00:00:00,2021-06-27T00:00:00,2021-06-23T00:00:00,2021-06-27T00:00:00,,,2021-06-27T00:00:00,,,,,,Common Carrier,,1Z40789424977,,,,,,http://lighttree.com/FEH4YT
